outfit_id,image_path,weather,gender,skin_tone,body_type,occasion,hair_type,style,description
outfit_1,outfit_images/outfit_1.jpg,sunny,female,#FFE4C4,slim,casual,straight,classic,Light floral sundress with beige sandals and a straw hat
outfit_2,outfit_images/outfit_2.jpg,sunny,female,#8D5524,athletic,casual,curly,bohemian,Loose white cotton blouse with high-waisted denim shorts and gladiator sandals
outfit_3,outfit_images/outfit_3.jpg,cold,male,#C68642,athletic,formal,short,classic,"Navy wool suit with light blue shirt, burgundy tie, and oxford shoes"
outfit_4,outfit_images/outfit_4.jpg,cold,female,#FFE4C4,plus-size,formal,wavy,classic,Black A-line midi dress with structured blazer and pearl accessories
outfit_5,outfit_images/outfit_5.jpg,sunny,female,#8D5524,average,party,curly,streetwear,Metallic crop top with high-waisted leather pants and chunky boots
outfit_6,outfit_images/outfit_6.jpg,cold,male,#FFE4C4,slim,party,wavy,streetwear,"Black turtleneck with leather jacket, ripped jeans, and chelsea boots"
outfit_7,outfit_images/outfit_7.jpg,rainy,female,#C68642,athletic,casual,straight,streetwear,"Oversized hoodie with leggings, waterproof boots, and crossbody bag"
outfit_8,outfit_images/outfit_8.jpg,rainy,male,#8D5524,plus-size,casual,short,classic,"Navy raincoat with khaki pants, waterproof boots, and umbrella"
outfit_9,outfit_images/outfit_9.jpg,sunny,female,#FFE4C4,slim,formal,straight,classic,"Pastel linen blazer with matching pants, silk camisole, and nude heels"
outfit_10,outfit_images/outfit_10.jpg,sunny,male,#C68642,athletic,formal,short,classic,"Light grey linen suit with white shirt, no tie, and brown loafers"
outfit_11,outfit_images/outfit_11.jpg,sunny,female,#8D5524,athletic,casual,straight,streetwear,"Cropped vintage tee with cargo pants, chunky sneakers, and bucket hat"
outfit_12,outfit_images/outfit_12.jpg,cold,male,#FFE4C4,slim,casual,short,streetwear,Oversized graphic hoodie with wide-leg pants and limited edition sneakers
outfit_13,outfit_images/outfit_13.jpg,sunny,female,#C68642,plus-size,casual,wavy,bohemian,"Flowing maxi dress with embroidery, layered necklaces, and leather sandals"
outfit_14,outfit_images/outfit_14.jpg,sunny,male,#8D5524,average,casual,long,bohemian,"Loose linen shirt with printed pants, leather sandals, and beaded accessories"
outfit_15,outfit_images/outfit_15.jpg,cold,female,#FFE4C4,athletic,casual,straight,classic,"Cashmere sweater with high-waisted jeans, ankle boots, and wool coat"
outfit_16,outfit_images/outfit_16.jpg,cold,male,#C68642,plus-size,casual,short,classic,"Quarter-zip sweater with chinos, desert boots, and puffer jacket"
